"country","subject","Unit","Date","Value"
"Burkina Faso","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.56
"Burkina Faso","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.502
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.323
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.248
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",0.03
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.016
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.055
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.273
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.073
"Burundi","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.433
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-1.04
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.441
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-0.473
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.586
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.24
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.047
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.166
"Cambodia","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-1.233
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.724
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.653
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-0.715
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.28
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.565
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",0.28
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",0.282
"Cameroon","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.957
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-48.98
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-56.709
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-40.023
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",1.788
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",21.576
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",17.932
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",11.361
"Canada","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-62.266
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.304
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.207
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-0.251
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.247
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.034
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.06
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.196
"Cape Verde","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.201
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.181
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2010 12:00:00 AM",-0.216
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2009 12:00:00 AM",-0.182
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2008 12:00:00 AM",-0.197
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2005 12:00:00 AM",-0.088
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2006 12:00:00 AM",-0.044
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2007 12:00:00 AM",-0.106
"Central African Republic","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2012 12:00:00 AM",-0.11
"Chad","Current account balance (U.S. dollars)","U.S. dollars (Billions)","1/1/2011 12:00:00 AM",-0.686
