,All vehicles,Commercial vehicles,Current account balance (Percent of GDP),Current account balance (U.S. dollars),Employment (Persons),Export volume of goods and services (Percent change),Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP (Current international dollar),"Gross domestic product per capita, current prices (U.S. dollars)","Gross domestic product, constant prices (Percent change)","Gross domestic product, current prices (U.S. dollars)","Gross domestic product, deflator (Index)",Gross national savings (Percent of GDP),Import volume of goods and services (Percent change),"Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Investment (Percent of GDP),Output gap in percent of potential GDP (Percent of potential GDP),Passengers Cars,Population (Persons),Trade volume of goods and services (Percent change),Unemployment rate (Percent of total labor force),country,year
454,17000.0,5000.0,12.567,13.085,,-3.117,143.162,5305.394,3.9189999999999996,104.116,702.62,25.473000000000003,10.149,105.594,13.484000000000002,12.905999999999999,,12000.0,19.625,,,angola,2011
455,19000.0,6000.0,11.638,13.423,,1.368,153.246,5706.234,5.155,115.34200000000001,752.297,26.585,8.787,116.454,10.285,14.932,,13000.0,20.213,,,angola,2012
456,3000.0,1000.0,0.244,0.04,,4.16,43.795,857.2360000000001,1.7209999999999999,16.287,85.986,14.182,3.0180000000000002,117.116,3.884,13.939,,2000.0,19.0,,,ivory coast,2005
457,3500.0,1000.0,2.555,0.479,,6.0120000000000005,45.825,958.0110000000001,1.516,18.748,87.485,13.145999999999999,3.861,120.00399999999999,2.4659999999999997,10.591,,2500.0,19.57,,,ivory coast,2006
458,4000.0,2000.0,-0.642,-0.139,,-8.832,47.875,1075.035,1.765,21.67,90.051,12.029000000000002,5.146,122.27799999999999,1.896,12.67,,2000.0,20.157,,,ivory coast,2007
459,3500.0,1000.0,2.004,0.452,,-2.1959999999999997,50.055,1085.094,2.543,22.529,97.708,17.02,2.845,130.0,6.315,15.015,,2500.0,20.761999999999997,,,ivory coast,2008
460,5000.0,2000.0,6.34,1.618,,10.573,52.075,1193.067,3.2510000000000003,25.513,100.0,17.953,6.05,131.311,1.0090000000000001,11.613,,3000.0,21.385,,,ivory coast,2009
461,5500.0,2000.0,1.87,0.465,,-10.335999999999999,53.775,1127.573,2.0180000000000002,24.836,105.38600000000001,16.772000000000002,6.814,133.674,1.8,14.901,,3500.0,22.026,,,ivory coast,2010
462,5500.0,2000.0,11.075999999999999,2.665,,-1.933,52.477,1060.644,-4.387,24.063000000000002,107.11,21.54,-14.53,139.621,4.448,10.465,,3500.0,22.686999999999998,,,ivory coast,2011
463,6000.0,2000.0,-0.235,-0.065,,2.247,59.121,1184.073,10.674000000000001,27.669,111.792,16.215999999999998,41.863,141.435,1.3,16.451,,4000.0,23.368000000000002,,,ivory coast,2012
472,16000.0,1000.0,-13.745999999999999,-2.926,,0.9620000000000001,43.518,5339.090999999999,2.7,21.285999999999998,104.693,8.437000000000001,-8.624,87.344,-0.718,22.182,,15000.0,3.987,,,lebanon,2005
473,16000.0,1000.0,-7.257000000000001,-1.5819999999999999,,12.823,45.571999999999996,5342.637,1.6,21.796999999999997,105.51700000000001,12.095,5.652,92.208,5.57,19.352,,15000.0,4.08,,,lebanon,2006
474,21000.0,1000.0,-7.236000000000001,-1.778,,8.289,51.183,5936.769,9.4,24.576999999999998,108.75200000000001,17.017,12.584000000000001,95.949,4.0569999999999995,24.253,,20000.0,4.14,,,lebanon,2007
475,31000.0,1000.0,-11.14,-3.2119999999999997,,27.131,56.93600000000001,6887.696999999999,9.1,28.833000000000002,116.941,16.352999999999998,20.901,106.272,10.758,27.493000000000002,,30000.0,4.186,,,lebanon,2008
476,32500.0,2500.0,-12.549000000000001,-4.41,,12.37,63.277,8274.294,10.3,35.14,129.215,13.706,12.112,107.554,1.206,26.254,,30000.0,4.247,,,lebanon,2009
477,32500.0,2500.0,-13.302,-5.056,,-0.113,69.17399999999999,8755.85,8.0,38.01,129.414,11.216,3.8169999999999997,113.00200000000001,5.066,24.518,,30000.0,4.341,,,lebanon,2010
478,32500.0,2500.0,-12.83,-5.142,,-10.481,72.014,9144.618,2.0,40.079,133.783,14.102,-9.3,121.148,7.209,26.932,,30000.0,4.383,,,lebanon,2011
479,37000.0,2000.0,-12.73,-5.468999999999999,,4.43,75.14,9709.261,2.5,42.961999999999996,139.91,12.129000000000001,4.01,128.248,5.86,24.859,,35000.0,4.425,,,lebanon,2012
496,551042.0,140150.0,14.417,20.694000000000003,,5.778,412.55699999999996,5421.340999999999,4.976,143.54,100.0,36.813,6.03,87.69200000000001,3.0389999999999997,22.396,,410892.0,26.476999999999997,,3.55,malaysia,2005
497,490748.0,116579.0,16.090999999999998,26.188000000000002,,6.907,448.98199999999997,6065.605,5.585,162.749,103.98100000000001,38.795,14.411,90.867,3.6210000000000004,22.704,,374169.0,26.831999999999997,,3.325,malaysia,2006
